year,map_vintage,state,state_code,district,district_note,at_large,statewide_baseline,races_used,offices_used,senate_races,statewide_races,stateleg_races,d_votes,r_votes,other_votes,total_votes,d_share_two_party_pct,r_share_two_party_pct,national_d_share_two_party_pct,lean_pct,lean_label,lean_house_pct,lean_statewide_pct,lean_senate_pct,weight_house,weight_statewide,weight_senate,sources_used
2006,2000s,Alaska,AK,AK-AL,,True,False,1,governor,0,1,0,97238,114697,25387,237322,45.88,54.12,52.9,-13.44,R+13.4,-19.86,-7.01,,0.5,0.5,0.0,house+statewide
2006,2000s,Alabama,AL,AL-01,,False,False,24,governor; state senate,0,1,23,956127,1088089,12247,2056463,46.77,53.23,52.9,-17.85,R+17.8,-29.57,-6.12,,0.5,0.5,0.0,house+statewide
2006,2000s,Alabama,AL,AL-02,,False,False,24,governor; state senate,0,1,23,956127,1088089,12247,2056463,46.77,53.23,52.9,-18.54,R+18.5,-30.95,-6.12,,0.5,0.5,0.0,house+statewide
2006,2000s,Alabama,AL,AL-03,,False,False,24,governor; state senate,0,1,23,956127,1088089,12247,2056463,46.77,53.23,52.9,-14.1,R+14.1,-22.08,-6.12,,0.5,0.5,0.0,house+statewide
2006,2000s,Alabama,AL,AL-04,,False,False,24,governor; state senate,0,1,23,956127,1088089,12247,2056463,46.77,53.23,52.9,-18.9,R+18.9,-31.67,-6.12,,0.5,0.5,0.0,house+statewide
2006,2000s,Alabama,AL,AL-05,,False,True,24,governor; state senate,0,1,23,956127,1088089,12247,2056463,46.77,53.23,52.9,-6.12,R+6.1,,-6.12,,0.0,1.0,0.0,statewide
2006,2000s,Alabama,AL,AL-06,,False,True,24,governor; state senate,0,1,23,956127,1088089,12247,2056463,46.77,53.23,52.9,-6.12,R+6.1,,-6.12,,0.0,1.0,0.0,statewide
2006,2000s,Alabama,AL,AL-07,,False,True,24,governor; state senate,0,1,23,956127,1088089,12247,2056463,46.77,53.23,52.9,-6.12,R+6.1,,-6.12,,0.0,1.0,0.0,statewide
2006,2000s,Arkansas,AR,AR-01,,False,False,1,governor,0,1,0,430765,315040,28875,774680,57.76,42.24,52.9,6.34,D+6.3,7.82,4.86,,0.5,0.5,0.0,house+statewide
2006,2000s,Arkansas,AR,AR-02,,False,False,1,governor,0,1,0,430765,315040,28875,774680,57.76,42.24,52.9,1.98,D+2.0,-0.9,4.86,,0.5,0.5,0.0,house+statewide
2006,2000s,Arkansas,AR,AR-03,,False,False,1,governor,0,1,0,430765,315040,28875,774680,57.76,42.24,52.9,-9.39,R+9.4,-23.63,4.86,,0.5,0.5,0.0,house+statewide
2006,2000s,Arkansas,AR,AR-04,,False,False,1,governor,0,1,0,430765,315040,28875,774680,57.76,42.24,52.9,9.1,D+9.1,13.33,4.86,,0.5,0.5,0.0,house+statewide
2006,2000s,Arizona,AZ,AZ-01,,False,False,49,senate; governor; state senate; state house,1,1,47,3000243,3006793,105191,6112227,49.95,50.05,52.9,-9.76,R+9.8,-15.76,-1.31,-12.2,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Arizona,AZ,AZ-02,,False,False,49,senate; governor; state senate; state house,1,1,47,3000243,3006793,105191,6112227,49.95,50.05,52.9,-11.68,R+11.7,-21.52,-1.31,-12.2,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Arizona,AZ,AZ-03,,False,False,49,senate; governor; state senate; state house,1,1,47,3000243,3006793,105191,6112227,49.95,50.05,52.9,-11.91,R+11.9,-22.21,-1.31,-12.2,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Arizona,AZ,AZ-04,,False,False,49,senate; governor; state senate; state house,1,1,47,3000243,3006793,105191,6112227,49.95,50.05,52.9,0.09,D+0.1,13.79,-1.31,-12.2,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Arizona,AZ,AZ-05,,False,False,49,senate; governor; state senate; state house,1,1,47,3000243,3006793,105191,6112227,49.95,50.05,52.9,-7.62,R+7.6,-9.35,-1.31,-12.2,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Arizona,AZ,AZ-06,,False,True,49,senate; governor; state senate; state house,1,1,47,3000243,3006793,105191,6112227,49.95,50.05,52.9,-6.75,R+6.8,,-1.31,-12.2,0.0,0.5,0.5,statewide+senate
2006,2000s,Arizona,AZ,AZ-07,,False,False,49,senate; governor; state senate; state house,1,1,47,3000243,3006793,105191,6112227,49.95,50.05,52.9,-3.86,R+3.9,1.94,-1.31,-12.2,0.334,0.333,0.333,house+statewide+senate
2006,2000s,Arizona,AZ,AZ-08,,False,False,49,senate; governor; state senate; state house,1,1,47,3000243,3006793,105191,6112227,49.95,50.05,52.9,-6.2,R+6.2,-5.09,-1.31,-12.2,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-01,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,3.22,D+3.2,8.16,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-02,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-8.77,R+8.8,-27.81,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-03,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-7.01,R+7.0,-22.52,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-04,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-3.86,R+3.9,-13.08,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-05,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,5.03,D+5.0,13.6,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-06,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,4.33,D+4.3,11.5,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-07,,False,True,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,0.75,D+0.7,,-4.31,5.81,0.0,0.5,0.5,statewide+senate
2006,2000s,California,CA,CA-08,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,9.44,D+9.4,26.83,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-09,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,9.69,D+9.7,27.57,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-10,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,2.18,D+2.2,5.05,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-11,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-2.21,R+2.2,-8.14,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-12,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,5.4,D+5.4,14.69,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-13,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,5.0,D+5.0,13.49,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-14,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,4.89,D+4.9,13.18,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-15,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,4.14,D+4.1,10.93,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-16,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,4.27,D+4.3,11.31,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-17,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,5.71,D+5.7,15.63,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-18,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,1.86,D+1.9,4.08,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-19,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-6.83,R+6.8,-21.99,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-20,,False,True,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,0.75,D+0.7,,-4.31,5.81,0.0,0.5,0.5,statewide+senate
2006,2000s,California,CA,CA-21,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-9.64,R+9.6,-30.43,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
